																																	
Name	Abbreviated Name	Level	Earth	Water	Fire	Air	None	Basic	Advanced	Expert	Power 	None	Basic	Advanced	Expert	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Conflux	None	Basic	Advanced	Expert	Normal	Basic	Advanced	Expert	Attributes (reference only, do not change)
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	133
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	134
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	135
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	136
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	137
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	138
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	139
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	140
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	141
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	142
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	143
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	144
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	145
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	146
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	147
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	148
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	149
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	150
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	151
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	152
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	153
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	154
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	155
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	156
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	157
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	158
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	159
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	160
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	161
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	162
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	163
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	164
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	165
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	166
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	167
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	168
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	169
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	170
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	171
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	172
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	173
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	174
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	175
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	176
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	177
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	178
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	179
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	180
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	181
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	182
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	183
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	184
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	185
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	186
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	187
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	188
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	189
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	190
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	191
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	192
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	193
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	194
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	195
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	196
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	197
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	198
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	199
WoG Spell	WoG Spell	0	x	x	x	x	5	4	3	2	20	5	10	15	20	20	10	10	10	10	10	10	10	10	25	25	25	25	WoG Spell Level Normal	WoG Spell Level Basic	WoG Spell Level Advanced	WoG Spell Level Expert	---
